label,message
ham,Are you coming to class today?
ham,I'll call you in 5 minutes
ham,Can we reschedule our meeting?
ham,Please check the attached file
ham,Let's catch up this weekend
ham,Did you finish the assignment?
ham,I'll be late today sorry
ham,Can you send me the notes?
ham,Where are you right now?
ham,Don't forget the meeting tomorrow
ham,Let's go for dinner tonight
ham,Please review the document
ham,I'll reach by 6 PM
ham,Can you help me with this task?
ham,Meeting has been postponed
ham,Let's discuss this later
ham,Are you available for a call?
ham,Thanks for your help!
ham,I'll text you later
ham,Please confirm your availability
spam,Win a free iPhone now!!! Click here
spam,Limited time offer!!! Buy now!!!
spam,You have won $1000 cash prize
spam,Click here to claim your reward
spam,Exclusive deal just for you!!!
spam,Act now! Offer expires soon
spam,Free entry in a contest!!! Join now
spam,You are selected for a prize
spam,Claim your bonus reward now
spam,Get rich fast!!! Invest today
spam,Free gift card waiting for you
spam,Lowest prices guaranteed!!! Shop now
spam,You have been chosen for a reward
spam,Earn money from home easily
spam,Congratulations! You are a lucky winner
spam,Unlock your prize now!!!
spam,Special promotion just for you
spam,Limited seats!!! Register now
spam,Click now to get your reward
spam,You won a shopping voucher
